No.,Location Name,State,Region,Nearest Town,Route Type,Rig Suitability,Access Type,Water,Dump Point,Pet Friendly,Best Season,Stay Type,Why We'd Stay Again,Confidence Level,Tier,AAO Tip,Why Stop Here,Best Travel Window,Latitude,Longitude,Corridor,Road Suitability,Max Rig Length,Cost Band,Verification Status
1,Calliope River Rest Area,QLD,Central QLD Coast,Calliope / Gladstone,Coastal / Highway Corridor,All rigs including big vans,"Sealed highway access, gravel camp area",No potable water,Use Gladstone,Yes,All year (can be hot in summer),Free,Easy highway overnighter with plenty of space.,High,3,Perfect overnight stop between Rockhampton and Gladstone. Creek views and bird watching. Free camping with basic facilities.,Peaceful riverside location with walking trails and abundant birdlife. Great spot to break up the coastal drive.,Apr-Oct,-24.01,151.18,Bruce Highway,Sealed - All weather,No limit,Free,AAO Verified
2,Bluff Hotel Camp Area,QLD,Central QLD Inland,Bluff,Inland,Caravan friendly,Sealed road access,Limited – confirm locally,Nearby town,Yes (confirm),Cooler months preferred,Low-cost / Pub stay,Classic country pub stop with relaxed overnight setup.,Medium,3,"Historic pub with camping behind. Cold beer, hearty meals, and genuine outback hospitality. Popular with grey nomads.",Classic Queensland country pub experience with good food and local character. Central location for exploring the region.,May-Sep,-23.58,148.61,Capricorn Highway,Sealed - All weather,No limit,Support the pub,AAO Verified
3,Maraboon Caravan Park,QLD,Central QLD Inland,Emerald,Inland,All caravans,Sealed access,Yes (town supply),Yes,Confirm on booking,All year,Paid,Reliable reset stop near town services and Fairbairn Dam.,High,2,Lakeside caravan park with powered sites. Great fishing and water activities. Modern amenities and friendly management.,Beautiful setting on Fairbairn Dam with excellent recreational opportunities. Well-maintained facilities.,Apr-Oct,-23.53,148.16,Gregory Highway,Sealed - All weather,No limit,$30-50,AAO Verified
4,Lara Wetlands,QLD,Outback QLD,Barcaldine,Inland / Remote,Caravan friendly in dry conditions,Unsealed road (dry weather suitable),Non-potable (bring drinking water),None,Yes (confirm),April–September,Low-cost bush camp,Peaceful artesian bush camp worth extending for.,High,1,Birdwatcher's paradise with free camping. Bring binoculars! Over 200 species recorded. Best in early morning.,World-class birding location with boardwalks and hides. Spectacular sunrise views over the wetlands.,Apr-Sep,-23.48,145.32,Capricorn Highway,Unsealed - Dry weather,Check conditions,$10-20,AAO Verified
5,Wellshot Hotel Camp Area,QLD,Outback QLD,Ilfracombe,Inland,Caravan friendly,Sealed access,Limited – confirm locally,Ilfracombe town,Yes (confirm),Cooler months,Low-cost / Pub stay,"Iconic outback pub stop, ideal one-night break.",Medium,3,Remote outback pub with camping facilities. Last fuel for 180km. Stock up on supplies and enjoy the isolation.,Genuine outback experience with stunning stargazing. Friendly locals and fascinating history.,May-Sep,-23.42,144.45,Landsborough Highway,Sealed - All weather,No limit,Support the pub,AAO Verified
6,Long Waterhole (Winton Free Camp),QLD,Outback QLD,Winton,Inland,All rigs,Unsealed but generally accessible,No potable water,Winton town,Yes,April–September,Free,Spacious outback camp close to town facilities.,High,2,Popular free camp on creek system. Arrive early in peak season. Basic facilities but beautiful natural setting.,Lovely swimming hole and shaded camping spots. Close to Winton's dinosaur attractions.,May-Sep,-22.39,143.04,Landsborough Highway,Unsealed - Good condition,No limit,Free,AAO Verified
7,Walkabout Creek Hotel Camp Area,QLD,Gulf Country,McKinlay,Remote / Savannah Way,Caravan friendly,Sealed access,Limited – confirm locally,None on site,Yes (confirm),May–September,Low-cost / Pub stay,Famous outback pub stop along the Savannah Way.,Medium,3,Famous Crocodile Dundee pub location. Great atmosphere and character. Camping behind the pub with good facilities.,Iconic Australian pub experience. Well-maintained campground and excellent meals.,May-Oct,-21.26,141.27,Matilda Highway,Sealed - All weather,No limit,Support the pub,AAO Verified
8,Normanton River Camp,QLD,Gulf Country,Normanton,Remote,Caravan friendly,Flat riverbank access (check conditions in wet),No potable water,Normanton town,Yes,May–September,Free,Easy riverfront overnight close to services.,Medium,3,Free riverside camping near historic railway town. Watch for crocs! Don't swim. Great fishing for barramundi.,Peaceful river setting with easy access to town facilities. Good base for exploring Gulf Savannah.,May-Sep,-17.67,141.08,Gulf Savannah Way,Unsealed - Dry weather,Check conditions,Free,AAO Verified
9,Gulflander Caravan Park,QLD,Gulf Country,Normanton,Remote,All caravans,Sealed access,Yes,Yes,Confirm on booking,May–September,Paid,Reliable service stop while waiting for Gulf access.,High,2,Well-maintained park in Normanton. Powered sites and clean amenities. Book ahead during tourist season.,Convenient location near the famous Gulflander train. Good facilities and helpful management.,May-Sep,-17.67,141.08,Gulf Savannah Way,Sealed - All weather,No limit,$30-50,AAO Verified
10,Karumba Sunset Caravan Park,QLD,Gulf Country,Karumba,Remote,All caravans,Sealed access,Yes,Yes,Confirm on booking,May–September,Paid,Excellent sunset frontage and strong fishing base.,High,1,Prime location for famous Gulf sunsets. Waterfront sites fill quickly. Excellent fishing and crabbing nearby.,Spectacular sunset views over the Gulf. Great seafood and fishing opportunities.,May-Sep,-17.49,140.84,Gulf Savannah Way,Sealed - All weather,No limit,$30-50,AAO Verified
11,Leichhardt Lagoon Camp,QLD,Gulf Country,Burketown (route vicinity),Remote / Savannah Way,Caravan friendly,Unsealed access,No potable water,None,Yes,May–September,Free,Quiet Savannah Way stop with good space.,Medium,3,Free bush camp with lagoon views. Remote and peaceful. 4WD access recommended in wet season.,Off-the-beaten-track camping with excellent birdwatching. True outback experience.,May-Oct,-17.75,139.55,Savannah Way,Unsealed - Dry weather,Check conditions,Free,AAO Verified
12,Croydon,QLD,Gulf Country,Croydon,Remote,Caravan friendly,Sealed access,Town supply,Town facilities,Yes,May–September,Mixed (free/low-cost options),Great small outback town with character.,Medium,2,Historic gold mining town with character. Free camping available at showgrounds. Explore the mining heritage.,Fascinating history and heritage buildings. Friendly community and interesting museum.,May-Sep,-18.21,142.25,Gulf Developmental Road,Sealed - All weather,No limit,$10-20,AAO Verified
13,Georgetown,QLD,Gulf Country,Georgetown,Remote,Caravan friendly,Sealed access,Town supply,Town facilities,Yes,May–September,Paid,Ideal base for visiting Cobbold Gorge.,High,2,Charming heritage town with good facilities. Free camping at Terrestrial Centre. Interesting geological displays.,Gateway to spectacular gorges and gemstone fossicking areas. Excellent visitor information.,May-Oct,-18.29,143.55,Gulf Developmental Road,Sealed - All weather,No limit,$30-50,AAO Verified
14,Planet Earth Adventures Van Park,QLD,Gulf Country / Tablelands,Mount Surprise,Remote,Caravan friendly,Sealed access,Yes,Confirm onsite,Confirm,May–September,Paid,Convenient overnight on Savannah Way route.,Medium,3,Eco-friendly park with excellent facilities. Great for families. Pool and camp kitchen. Book ahead in peak times.,Well-designed park with modern amenities and environmental focus. Helpful owners with local knowledge.,Apr-Oct,-18.15,144.32,Gulf Developmental Road,Sealed - All weather,No limit,$30-50,AAO Verified
15,Pinnarendi Station Stay,QLD,Tablelands,Mount Surprise,Inland / Rural,Caravan friendly,Unsealed access (dry conditions),Limited – confirm,None,Yes (confirm),May–September,Station stay,Scenic station stay with great café and atmosphere.,High,1,Working cattle station accommodation. Authentic outback experience. Tours available. Book in advance essential.,Unique opportunity to experience station life. Beautiful landscapes and genuine hospitality.,May-Oct,-18.08,144.7,Savannah Way,Unsealed - Dry weather,Check conditions,$20-30,AAO Verified
16,Mareeba Bush Stays,QLD,Atherton Tablelands,Mareeba,Inland,Caravan friendly,Varies by property,Varies,Mareeba town,Often yes (confirm per stay),All year (cooler in winter),Mixed bush stays,Excellent base for exploring the Tablelands and prepping for Cape York.,High,2,Private bush camping near Mareeba. Peaceful rural setting. Good access to Atherton Tablelands attractions.,Quiet retreat with natural bushland setting. Close to wetlands and waterfalls.,Apr-Nov,-17,145.42,Kennedy Highway,Varies by property,Check conditions,$20-30,AAO Verified
